id,title,authors,year,venue,citation_count,doi,source_url,oa_url,pdf_path
268d347e8a55b5eb82fb5e7d2f800e33c75ab18a,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,Alexey Dosovitskiy | Lucas Beyer | Alexander Kolesnikov | Dirk Weissenborn | Xiaohua Zhai | Thomas Unterthiner | Mostafa Dehghani | M. Minderer | G. Heigold | S. Gelly | Jakob Uszkoreit | N. Houlsby,2020,International Conference on Learning Representations,61870,,,https://arxiv.org/pdf/2010.11929,data\pdfs\268d347e8a55b5eb82fb5e7d2f800e33c75ab18a.pdf
c8b25fab5608c3e033d34b4483ec47e68ba109b7,Swin Transformer: Hierarchical Vision Transformer using Shifted Windows,Ze Liu | Yutong Lin | Yue Cao | Han Hu | Yixuan Wei | Zheng Zhang | Stephen Lin | B. Guo,2021,IEEE International Conference on Computer Vision,31739,10.1109/ICCV48922.2021.00986,https://doi.org/10.1109/ICCV48922.2021.00986,http://arxiv.org/pdf/2103.14030,data\pdfs\c8b25fab5608c3e033d34b4483ec47e68ba109b7.pdf
ad7ddcc14984caae308c397f1a589aae75d4ab71,Training data-efficient image transformers & distillation through attention,Hugo Touvron | M. Cord | Matthijs Douze | Francisco Massa | Alexandre Sablayrolles | Herv'e J'egou,2020,International Conference on Machine Learning,8991,,,https://arxiv.org/pdf/2012.12877,data\pdfs\ad7ddcc14984caae308c397f1a589aae75d4ab71.pdf
ad4a0938c48e61b7827869e4ac3baffd0aefab35,Emerging Properties in Self-Supervised Vision Transformers,Mathilde Caron | Hugo Touvron | Ishan Misra | Herv'e J'egou | J. Mairal | Piotr Bojanowski | Armand Joulin,2021,IEEE International Conference on Computer Vision,8933,10.1109/ICCV48922.2021.00951,https://doi.org/10.1109/ICCV48922.2021.00951,http://arxiv.org/pdf/2104.14294,data\pdfs\ad4a0938c48e61b7827869e4ac3baffd0aefab35.pdf
177e957f5cd93229c9794ea652c646d2557b4a69,A ConvNet for the 2020s,Zhuang Liu | Hanzi Mao | Chaozheng Wu | Christoph Feichtenhofer | Trevor Darrell | Saining Xie,2022,Computer Vision and Pattern Recognition,8018,10.1109/CVPR52688.2022.01167,https://doi.org/10.1109/CVPR52688.2022.01167,https://arxiv.org/pdf/2201.03545,data\pdfs\177e957f5cd93229c9794ea652c646d2557b4a69.pdf
3f5b31c4f7350dc88002c121aecbdc82f86eb5bb,BLIP-2: Bootstrapping Language-Image Pre-training with Frozen Image Encoders and Large Language Models,Junnan Li | Dongxu Li | S. Savarese | Steven C. H. Hoi,2023,International Conference on Machine Learning,7895,10.48550/arXiv.2301.12597,https://doi.org/10.48550/arXiv.2301.12597,http://arxiv.org/pdf/2301.12597,data\pdfs\3f5b31c4f7350dc88002c121aecbdc82f86eb5bb.pdf
8fb1c04dab87ca6c116495e4d03c46c9547e4ec3,Pyramid Vision Transformer: A Versatile Backbone for Dense Prediction without Convolutions,Wenhai Wang | Enze Xie | Xiang Li | Deng-Ping Fan | Kaitao Song | Ding Liang | Tong Lu | P. Luo | Ling Shao,2021,IEEE International Conference on Computer Vision,4915,10.1109/ICCV48922.2021.00061,https://doi.org/10.1109/ICCV48922.2021.00061,https://arxiv.org/pdf/2102.12122,data\pdfs\8fb1c04dab87ca6c116495e4d03c46c9547e4ec3.pdf
7a9a708ca61c14886aa0dcd6d13dac7879713f5f,SwinIR: Image Restoration Using Swin Transformer,Jingyun Liang | Jie Cao | Guolei Sun | K. Zhang | L. Gool | R. Timofte,2021,2021 IEEE/CVF International Conference on Computer Vision Workshops (ICCVW),4547,10.1109/ICCVW54120.2021.00210,https://doi.org/10.1109/ICCVW54120.2021.00210,https://arxiv.org/pdf/2108.10257,data\pdfs\7a9a708ca61c14886aa0dcd6d13dac7879713f5f.pdf
f61cc9b5583c6295d5cd756ec0f34e4c003aab29,Qwen2.5-VL Technical Report,Shuai Bai | Keqin Chen | Xuejing Liu | Jialin Wang | Wenbin Ge | Sibo Song | K. Dang | Peng Wang | Shijie Wang | Jun Tang | Humen Zhong | Yuanzhi Zhu | Mingkun Yang | Zhaohai Li | Jianqiang Wan | Pengfei Wang | Wei Ding | Zheren Fu | Yiheng Xu | Jiabo Ye | Xi Zhang | Tianbao Xie | Zesen Cheng | Hang Zhang | Zhibo Yang | Haiyang Xu | Junyang Lin,2025,arXiv.org,4455,10.48550/arXiv.2502.13923,https://doi.org/10.48550/arXiv.2502.13923,https://arxiv.org/pdf/2502.13923,data\pdfs\f61cc9b5583c6295d5cd756ec0f34e4c003aab29.pdf
65a9c7b0800c86a196bc14e7621ff895cc6ab287,ViLBERT: Pretraining Task-Agnostic Visiolinguistic Representations for Vision-and-Language Tasks,Jiasen Lu | Dhruv Batra | Devi Parikh | Stefan Lee,2019,Neural Information Processing Systems,4441,,,https://arxiv.org/pdf/1908.02265,data\pdfs\65a9c7b0800c86a196bc14e7621ff895cc6ab287.pdf
c3e5a20b844c042d2174263d2fd5b30d8cc8f0b0,Grounding DINO: Marrying DINO with Grounded Pre-Training for Open-Set Object Detection,Shilong Liu | Zhaoyang Zeng | Tianhe Ren | Feng Li | Hao Zhang | Jie Yang | Chun-yue Li | Jianwei Yang | Hang Su | Jun-Juan Zhu | Lei Zhang,2023,European Conference on Computer Vision,4011,10.48550/arXiv.2303.05499,https://doi.org/10.48550/arXiv.2303.05499,http://arxiv.org/pdf/2303.05499,data\pdfs\c3e5a20b844c042d2174263d2fd5b30d8cc8f0b0.pdf
1e88d5afe19aea324d33541f60a90b7036894c32,Restormer: Efficient Transformer for High-Resolution Image Restoration,Syed Waqas Zamir | Aditya Arora | Salman Hameed Khan | Munawar Hayat | F. Khan | Ming-Hsuan Yang,2021,Computer Vision and Pattern Recognition,3799,10.1109/CVPR52688.2022.00564,https://doi.org/10.1109/CVPR52688.2022.00564,https://arxiv.org/pdf/2111.09881,data\pdfs\1e88d5afe19aea324d33541f60a90b7036894c32.pdf
722ad6ac92286507437b31486f47987d6ece05c9,BEiT: BERT Pre-Training of Image Transformers,Hangbo Bao | Li Dong | Furu Wei,2021,International Conference on Learning Representations,3635,,,https://arxiv.org/pdf/2106.08254,data\pdfs\722ad6ac92286507437b31486f47987d6ece05c9.pdf
67571d29190faea9fbd104acd16274f8c4edf254,MLP-Mixer: An all-MLP Architecture for Vision,I. Tolstikhin | N. Houlsby | Alexander Kolesnikov | Lucas Beyer | Xiaohua Zhai | Thomas Unterthiner | Jessica Yung | Daniel Keysers | Jakob Uszkoreit | M. Lučić | Alexey Dosovitskiy,2021,Neural Information Processing Systems,3542,,,https://arxiv.org/pdf/2105.01601,data\pdfs\67571d29190faea9fbd104acd16274f8c4edf254.pdf
d40c77c010c8dbef6142903a02f2a73a85012d5d,A Survey on Vision Transformer,Kai Han | Yunhe Wang | Hanting Chen | Xinghao Chen | Jianyuan Guo | Zhenhua Liu | Yehui Tang | An Xiao | Chunjing Xu | Yixing Xu | Zhaohui Yang | Yiman Zhang | D. Tao,2020,IEEE Transactions on Pattern Analysis and Machine Intelligence,3488,10.1109/TPAMI.2022.3152247,https://doi.org/10.1109/TPAMI.2022.3152247,https://arxiv.org/pdf/2012.12556,data\pdfs\d40c77c010c8dbef6142903a02f2a73a85012d5d.pdf
3a906b77fa218adc171fecb28bb81c24c14dcc7b,Transformers in Vision: A Survey,Salman Hameed Khan | Muzammal Naseer | Munawar Hayat | Syed Waqas Zamir | F. Khan | M. Shah,2021,ACM Computing Surveys,3475,10.1145/3505244,https://doi.org/10.1145/3505244,https://arxiv.org/pdf/2101.01169,data\pdfs\3a906b77fa218adc171fecb28bb81c24c14dcc7b.pdf
8bd6a2a89503be083176f2cc26fabedb79238cbd,InstructBLIP: Towards General-purpose Vision-Language Models with Instruction Tuning,Wenliang Dai | Junnan Li | Dongxu Li | A. Tiong | Junqi Zhao | Weisheng Wang | Boyang Albert Li | Pascale Fung | Steven C. H. Hoi,2023,Neural Information Processing Systems,3358,10.48550/arXiv.2305.06500,https://doi.org/10.48550/arXiv.2305.06500,http://arxiv.org/pdf/2305.06500,data\pdfs\8bd6a2a89503be083176f2cc26fabedb79238cbd.pdf
b6382a7351c0c595f91472ac71d3b2d87b3c4844,ViViT: A Video Vision Transformer,Anurag Arnab | Mostafa Dehghani | G. Heigold | Chen Sun | M. Lučić | C. Schmid,2021,IEEE International Conference on Computer Vision,2947,10.1109/ICCV48922.2021.00676,https://doi.org/10.1109/ICCV48922.2021.00676,https://arxiv.org/pdf/2103.15691,data\pdfs\b6382a7351c0c595f91472ac71d3b2d87b3c4844.pdf
79c93274429d6355959f1e4374c2147bb81ea649,LXMERT: Learning Cross-Modality Encoder Representations from Transformers,Hao Hao Tan | Mohit Bansal,2019,Conference on Empirical Methods in Natural Language Processing,2890,10.18653/v1/D19-1514,https://doi.org/10.18653/v1/D19-1514,https://www.aclweb.org/anthology/D19-1514.pdf,data\pdfs\79c93274429d6355959f1e4374c2147bb81ea649.pdf
e1d082562981a9f51649c60663aa484ee623dbb0,Point Transformer,Nico Engel | Vasileios Belagiannis | K. Dietmayer,2020,IEEE Access,2867,10.1109/ACCESS.2021.3116304,https://doi.org/10.1109/ACCESS.2021.3116304,https://arxiv.org/pdf/2012.09164,data\pdfs\e1d082562981a9f51649c60663aa484ee623dbb0.pdf
b82c5f9efdb2ae56baa084ca41aeddd8a665c1d1,Align before Fuse: Vision and Language Representation Learning with Momentum Distillation,Junnan Li | Ramprasaath R. Selvaraju | Akhilesh Deepak Gotmare | Shafiq R. Joty | Caiming Xiong | S. Hoi,2021,Neural Information Processing Systems,2714,,,https://arxiv.org/pdf/2107.07651,data\pdfs\b82c5f9efdb2ae56baa084ca41aeddd8a665c1d1.pdf
be0fbb810583930c071d0b9b2c5187fe260783f5,Swin Transformer V2: Scaling Up Capacity and Resolution,Ze Liu | Han Hu | Yutong Lin | Zhuliang Yao | Zhenda Xie | Yixuan Wei | Jia Ning | Yue Cao | Zheng Zhang | Li Dong | Furu Wei | B. Guo,2021,Computer Vision and Pattern Recognition,2708,10.1109/CVPR52688.2022.01170,https://doi.org/10.1109/CVPR52688.2022.01170,https://arxiv.org/pdf/2111.09883,data\pdfs\be0fbb810583930c071d0b9b2c5187fe260783f5.pdf
8e33914d6051dd031a5e096962b9398fc1d16067,Vision Transformers for Dense Prediction,René Ranftl | Alexey Bochkovskiy | V. Koltun,2021,IEEE International Conference on Computer Vision,2649,10.1109/ICCV48922.2021.01196,https://doi.org/10.1109/ICCV48922.2021.01196,https://arxiv.org/pdf/2103.13413,data\pdfs\8e33914d6051dd031a5e096962b9398fc1d16067.pdf
adb272fbdea3631059cf88ab764bb6c2ce29f965,Visual Prompt Tuning,Menglin Jia | Luming Tang | Bor-Chun Chen | C. Cardie | Serge J. Belongie | Bharath Hariharan | S. Lim,2022,European Conference on Computer Vision,2528,10.48550/arXiv.2203.12119,https://doi.org/10.48550/arXiv.2203.12119,http://arxiv.org/pdf/2203.12119,data\pdfs\adb272fbdea3631059cf88ab764bb6c2ce29f965.pdf
